Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Aaron Wiggins,27,OKC,SG,65,1414,11.7,2.1,0.072,-0.9,0.4,10102803,6.53281538
Walter Clayton,22,2TM,PG,69,1410,10.3,0.3,0.009,-4.3,-0.8,3991320,2.580923005
Christian Braun,24,DEN,SG,44,1399,12.6,3,0.103,-1.2,0.3,4921797,3.18260102
Gui Santos,23,GSW,PF,68,1395,14.2,2.7,0.094,-0.6,0.5,2221677,1.436611767
VÃ­t KrejÄÃ­,25,2TM,PG,65,1392,11.1,2.9,0.099,-1.6,0.1,2349578,1.519316896
Kyshawn George,22,WAS,SF,48,1391,13.8,0.6,0.022,-1.2,0.3,2966760,1.918407729
Ben Sheppard,24,IND,SG,65,1390,9.7,1.4,0.05,-3,-0.4,2790720,1.804574289
Justin Champagnie,24,WAS,SF,69,1377,17.3,3.1,0.109,-0.4,0.6,2349578,1.519316896
Will Richard,23,GSW,SG,69,1377,11,2.5,0.089,-1.7,0.1,1272870,0.823080952
Gary Trent Jr.,27,MIL,SG,65,1377,8,-0.1,-0.002,-5.4,-1.2,3697105,2.390673599
Sam Merrill,29,CLE,SG,52,1377,13.6,3.7,0.127,0.1,0.7,8482144,5.484842254
Anfernee Simons,26,2TM,SG,55,1372,14.4,2.9,0.101,-0.1,0.7,27678571,17.89790361
Jose Alvarado,27,2TM,PG,69,1370,12.1,2.2,0.077,-1,0.3,4500000,2.909852761
Malik Monk,27,SAC,SG,62,1364,14.2,1,0.034,-1.3,0.2,18797619,12.15517857
Ryan Dunn,23,PHO,SF,70,1355,11.7,2.6,0.093,-0.9,0.4,2657760,1.718597839
Josh Okogie,27,HOU,SG,78,1354,9.9,2.7,0.095,-1.2,0.3,2296274,1.48484872
Kobe Sanders,23,LAC,SG,68,1351,10,1.4,0.051,-2.9,-0.3,475497,0.307472502
Derrick Jones Jr.,28,LAC,SF,50,1350,13.3,2.8,0.1,-0.7,0.5,10000000,6.46633947
Darius Garland,26,LAC,PG,45,1344,17.1,2.6,0.092,-0.2,0.6,39446090,25.50718087
Aaron Nesmith,26,IND,SF,45,1335,10.8,0.7,0.026,-3.4,-0.5,11000000,7.112973417
Kris Murray,25,POR,SF,57,1333,9.6,2.2,0.079,-1.5,0.2,3132000,2.025257522
Stephen Curry,37,GSW,PG,43,1329,22.6,4.1,0.147,5.4,2.5,59606817,38.54379134
Jordan Miller,26,LAC,SF,60,1325,15.9,3.5,0.125,0.2,0.8,712637,0.460815276
Drake Powell,20,BRK,SG,63,1320,7.3,-0.1,-0.003,-6,-1.3,3372240,2.180604861
Jericho Sims,27,MIL,C,67,1318,12.9,3.2,0.117,-3.1,-0.4,2461463,1.591665535
Dean Wade,29,CLE,PF,59,1318,10.9,3.1,0.114,0.2,0.7,6623456,4.282951496
Isaiah Stewart,24,DET,C,58,1317,15.2,4.1,0.149,0,0.7,15000000,9.699509205
Egor DÑmin,19,BRK,PG,52,1308,11.3,0.9,0.032,-1.6,0.1,6889200,4.454790588
Alex Sarr,20,WAS,C,48,1305,19.4,1.6,0.059,0.7,0.9,11808240,7.635608838
Yves Missi,21,NOP,C,66,1297,15,2.7,0.098,-1.7,0.1,3353040,2.16818949
Nicolas Batum,37,LAC,PF,74,1295,8.4,1.8,0.066,-1,0.3,5601600,3.622184717
Ziaire Williams,24,BRK,SF,56,1281,12.4,1.6,0.059,-1.7,0.1,6250000,4.041462169
Jordan Clarkson,33,NYK,SG,72,1279,11.6,1.9,0.072,-3.3,-0.4,12947835,8.372509651
Jordan Clarkson,33,NYK,SG,72,1279,11.6,1.9,0.072,-3.3,-0.4,12947835,8.372509651
Jaylin Williams,23,OKC,PF,65,1277,13.8,4.1,0.155,2.7,1.5,8450704,5.464512082
Kevin Porter Jr.,25,MIL,PG,38,1261,18.7,2.8,0.106,2.1,1.3,5134000,3.319818684
Coby White,25,2TM,SG,50,1249,16.1,2,0.076,-1.3,0.2,12888889,8.334393166
Collin Murray-Boyles,20,TOR,PF,57,1246,16.4,4,0.154,1,1,6332520,4.094822402
Nolan TraorÃ©,19,BRK,PG,56,1243,7.9,-1.6,-0.063,-6.8,-1.5,3811560,2.464684087
Adem Bona,22,PHI,C,71,1234,12.8,2.9,0.112,-2.9,-0.3,1955377,1.264413147
Andre Drummond,32,PHI,C,63,1231,16.4,3.4,0.133,-0.6,0.4,5000000,3.233169735
Pat Spencer,29,GSW,PG,66,1229,12.1,1.4,0.056,-2.3,-0.1,857804,0.554685186
Zach LaVine,30,SAC,SG,39,1224,14.7,1.3,0.051,-1.5,0.2,47499660,30.71489263
Jordan Walsh,21,BOS,PF,68,1212,13.1,3.8,0.15,0.2,0.7,2221677,1.436611767
Jaxson Hayes,25,LAL,C,66,1207,18.3,5,0.199,1.2,1,3449323,2.230449346
Joel Embiid,31,PHI,C,38,1201,24.7,4.1,0.163,4.9,2.1,55224526,35.71005322
Marvin Bagley III,26,2TM,PF,60,1201,20.2,3.8,0.15,0.8,0.8,2296274,1.48484872
Santi Aldama,25,MEM,PF,43,1198,16.3,2.3,0.092,1.7,1.1,18485916,11.95362083
Daniel Gafford,27,DAL,C,55,1195,18.8,4.1,0.167,0.7,0.8,14386320,9.302682884
Danny Wolf,21,BRK,PF,57,1187,12.3,0.8,0.032,-2.5,-0.2,2801280,1.811402743
Jimmy Butler,36,GSW,SF,38,1182,23.5,5.7,0.233,5.5,2.3,54126450,35
Mouhamed Gueye,23,ATL,PF,77,1179,12,2.7,0.11,-1.3,0.2,2221677,1.436611767
GG Jackson II,21,MEM,PF,55,1178,15.6,1.3,0.052,-1.2,0.2,2221677,1.436611767
Bones Hyland,25,MIN,PG,71,1177,15.1,3.1,0.126,1.7,1.1,2296274,1.48484872
De'Andre Hunter,28,CLE,SF,45,1176,11.4,1.1,0.044,-3.9,-0.6,23303571,15.06888009
Mitchell Robinson,27,NYK,C,60,1175,21.1,5.8,0.236,3.5,1.6,12954546,8.376849211
Simone Fontecchio,30,MIA,SF,70,1173,13.8,2.6,0.106,0.5,0.7,8307692,5.372035668
Landry Shamet,28,NYK,SG,51,1171,11.2,2.6,0.106,-0.3,0.5,2296274,1.48484872
Day'Ron Sharpe,24,BRK,C,62,1160,20.5,3.5,0.144,1.4,1,6250000,4.041462169
Jared McCain,21,2TM,SG,67,1160,11.6,1.5,0.06,-2.4,-0.1,4221360,2.729674678
Quinten Post,25,GSW,PF,67,1159,13,1.9,0.078,-1.1,0.3,1955377,1.264413147
Svi Mykhailiuk,28,UTA,SF,50,1156,11.4,1.1,0.048,-1.7,0.1,3675000,2.376379755
Caris LeVert,31,DET,SG,60,1154,10.9,1.6,0.066,-0.4,0.5,14104000,9.120125188
Jakob Poeltl,30,TOR,C,46,1149,18.1,4.3,0.18,1.6,1,19500000,12.60936197
Craig Porter Jr.,25,CLE,PG,64,1148,13.7,2.8,0.116,2,1.2,2221677,1.436611767
Gary Payton II,33,GSW,SG,73,1142,18.3,3.5,0.149,1.9,1.1,2296274,1.48484872
Dru Smith,28,MIA,SG,70,1141,14.5,3,0.127,2.2,1.2,2378870,1.538258097
Isaiah Hartenstein,27,OKC,C,47,1137,19.8,5.3,0.223,4.2,1.8,28500000,18.42906749
Paul George,35,PHI,PF,37,1135,16.7,2.5,0.108,1.7,1.1,51666090,33.4090477
Jarred Vanderbilt,26,LAL,PF,65,1128,11.2,1.8,0.079,-1.5,0.1,11571429,7.482478807
De'Anthony Melton,27,GSW,PG,49,1125,13.4,0.7,0.031,-2.5,-0.1,3080921,1.992228107
Luka Garza,27,BOS,C,69,1118,19.9,5.3,0.226,2.4,1.2,2461463,1.591665535
